PT,HLT,HLGT,SOC_ABBREV
Iliac artery disease,"Peripheral vasoconstriction, necrosis and vascular insufficiency","Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vasc
Renal artery perforation,Renal vascular and ischaemic conditions,Renal disorders (excl nephropathies),Renal
Herpes zoster reactivation,Herpes viral infections,Viral infectious disorders,Infec
Eosinophilic leukaemia,Leukaemias myeloid NEC,Leukaemias,Neopl
Purpura senile,Purpura and related conditions,Skin vascular abnormalities,Skin
Hypothalamic pituitary adrenal axis suppression,Hypothalamic and pituitary disorders NEC,Hypothalamus and pituitary gland disorders,Endo
Pituitary-dependent Cushing's syndrome,Anterior pituitary hyperfunction,Hypothalamus and pituitary gland disorders,Endo
Lymphocytic leukaemia,Leukaemias lymphocytic NEC,Leukaemias,Neopl
Meningitis haemophilus,Haemophilus infections,Bacterial infectious disorders,Infec
Nasal septum ulceration,Nasal disorders NEC,Upper respiratory tract disorders (excl infections),Resp
Pelvi-ureteric obstruction,Renal obstructive disorders,Renal disorders (excl nephropathies),Renal
Glucocorticoids increased,Adrenal cortex tests,Endocrine investigations (incl sex hormones),Inv
Hyperadrenocorticism,Adrenal cortical hyperfunctions,Adrenal gland disorders,Endo
Tinea cruris,Tinea infections,Fungal infectious disorders,Infec
Gastroenteritis eosinophilic,Gastrointestinal inflammatory disorders NEC,Gastrointestinal inflammatory conditions,Gastr
Abdominal migraine,Gastrointestinal and abdominal pains (excl oral and throat),Gastrointestinal signs and symptoms,Gastr
Eyelid bleeding,Lid bleeding and vascular disorders,Ocular haemorrhages and vascular disorders NEC,Eye
Congenital foot malformation,Musculoskeletal and connective tissue disorders of limbs congenital,Musculoskeletal and connective tissue disorders congenital,Cong
Blood corticotrophin decreased,Pituitary analyses anterior,Endocrine investigations (incl sex hormones),Inv
Dysaesthesia pharynx,Pharyngeal disorders (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),Resp
Burnout syndrome,Stress disorders,Anxiety disorders and symptoms,Psych
Epileptic aura,Seizures and seizure disorders NEC,Seizures (incl subtypes),Nerv
Central serous chorioretinopathy,Retinopathies NEC,"Retina, choroid and vitreous haemorrhages and vascular disorders",Eye
Nasal cavity packing,Nasal therapeutic procedures,Head and neck therapeutic procedures,Surg
Brief psychotic disorder with marked stressors,Brief psychotic disorder,Schizophrenia and other psychotic disorders,Psych
Adrenocorticotropic hormone deficiency,Anterior pituitary hypofunction,Hypothalamus and pituitary gland disorders,Endo
Tracheal pain,Tracheal disorders (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),Resp
Anticoagulant therapy,Haematological therapeutic procedures NEC,Haematological and lymphoid tissue therapeutic procedures,Surg
Vertical talus,Musculoskeletal and connective tissue disorders of limbs congenital,Musculoskeletal and connective tissue disorders congenital,Cong
Action tremor,Tremor (excl congenital),Movement disorders (incl parkinsonism),Nerv
Salt craving,Appetite disorders,Appetite and general nutritional disorders,Metab
Radial pulse abnormal,Heart rate and pulse investigations,Cardiac and vascular investigations (excl enzyme tests),Inv
Oesophageal achalasia,Gastrointestinal dyskinetic disorders,Gastrointestinal motility and defaecation conditions,Gastr
Vocal cord thickening,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),Resp
Vocal cord dysfunction,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),Resp
Paragonimiasis,Trematode infections,Helminthic disorders,Infec
Spider vein,Varicose veins NEC,Venous varices,Vasc
Tracheal dilatation,Tracheal disorders (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),Resp
Cortisol free urine increased,Adrenal cortex tests,Endocrine investigations (incl sex hormones),Inv
Accidental device ingestion,Accidental exposures to product,Medication errors and other product use errors and issues,Inj&P
Respiratory tract infection bacterial,Bacterial infections NEC,Bacterial infectious disorders,Infec
Gastric varices,Haemorrhoids and gastrointestinal varices (excl oesophageal),Gastrointestinal vascular conditions,Gastr
Upper respiratory tract irritation,Upper respiratory tract signs and symptoms,Respiratory tract signs and symptoms,Resp
Leukoplakia oral,Oral soft tissue disorders NEC,Oral soft tissue conditions,Gastr
Cholesteatoma,Aural neoplasms benign,Miscellaneous and site unspecified neoplasms benign,Neopl
Nasal cyst,Nasal disorders NEC,Upper respiratory tract disorders (excl infections),Resp
Transient lingual papillitis,Tongue disorders,Tongue conditions,Gastr
FEV1/FVC ratio decreased,Respiratory and pulmonary function diagnostic procedures,Respiratory and pulmonary investigations (excl blood gases),Inv
Severe asthma with fungal sensitisation,Fungal infections NEC,Fungal infectious disorders,Infec
Alpha 1 globulin decreased,Protein analyses NEC,Protein and chemistry analyses NEC,Inv
Alpha 2 globulin decreased,Protein analyses NEC,Protein and chemistry analyses NEC,Inv
Instillation site foreign body sensation,Instillation site reactions,Administration site reactions,Genrl
Inspiratory capacity decreased,Respiratory and pulmonary function diagnostic procedures,Respiratory and pulmonary investigations (excl blood gases),Inv
Tongue cyst,Benign oral cavity neoplasms,Benign neoplasms gastrointestinal,Gastr
Cystic lung disease,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),Resp
Social fear,Fear symptoms and phobic disorders (incl social phobia),Anxiety disorders and symptoms,Psych
Body height below normal,Physical examination procedures and organ system status,Physical examination and organ system status topics,Inv
Bite,Non-site specific injuries NEC,Injuries NEC,Inj&P
Acne pustular,Skin structures and soft tissue infections,Infections - pathogen unspecified,Infec
Mite allergy,Allergic conditions NEC,Allergic conditions,Immun
Eustachian tube disorder,Eustachian tube disorders,Middle ear disorders (excl congenital),Ear
Pseudo Cushing's syndrome,Adrenal cortical hyperfunctions,Adrenal gland disorders,Endo
Vocal cord atrophy,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),Resp
Post-traumatic epilepsy,Seizures and seizure disorders NEC,Seizures (incl subtypes),Nerv
Fractional exhaled nitric oxide increased,Respiratory and pulmonary function diagnostic procedures,Respiratory and pulmonary investigations (excl blood gases),Inv
Fractional exhaled nitric oxide abnormal,Respiratory and pulmonary function diagnostic procedures,Respiratory and pulmonary investigations (excl blood gases),Inv
Herpes simplex oesophagitis,Herpes viral infections,Viral infectious disorders,Infec
Foreign body in gastrointestinal tract,Abdominal and gastrointestinal injuries NEC,Injuries NEC,Inj&P
Ear injury,Ear injuries NEC,Injuries NEC,Inj&P
Tympanosclerosis,Tympanic membrane disorders (excl infections),Middle ear disorders (excl congenital),Ear
Oesophagram,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Inv
Plasma cell myeloma refractory,Plasma cell myelomas,Plasma cell neoplasms,Neopl
Corneal epithelial microcysts,"Corneal structural change, deposit and degeneration","Anterior eye structural change, deposit and degeneration",Eye
Corneal toxicity,Corneal injuries,Ocular injuries,Eye
Ocular toxicity,Ocular injuries NEC,Ocular injuries,Eye
Light chain analysis,Immunoglobulin analyses,Immunology and allergy investigations,Inv
SLE arthritis,Arthropathies NEC,Joint disorders,Musc
Immunosuppressant drug level abnormal,Therapeutic drug monitoring analyses,Toxicology and therapeutic drug monitoring,Inv
Prostate cancer stage IV,Prostatic neoplasms malignant,Reproductive neoplasms male malignant and unspecified,Neopl
Gastrointestinal hypermotility,Gastrointestinal spastic and hypermotility disorders,Gastrointestinal motility and defaecation conditions,Gastr
Intentional underdose,Underdoses NEC,Overdoses and underdoses NEC,Inj&P
Mantle cell lymphoma,Mantle cell lymphomas,Lymphomas non-Hodgkin's B-cell,Neopl
External ear neoplasm malignant,Aural neoplasms malignant and unspecified,Miscellaneous and site unspecified neoplasms malignant and unspecified,Neopl
Neuroendocrine carcinoma,Endocrine neoplasms malignant and unspecified NEC,Endocrine neoplasms malignant and unspecified,Neopl
Follicular lymphoma stage IV,Follicular lymphomas,Lymphomas non-Hodgkin's B-cell,Neopl
Hodgkin's disease recurrent,Hodgkin's disease NEC,Lymphomas Hodgkin's disease,Neopl
Hodgkin's disease refractory,Hodgkin's disease NEC,Lymphomas Hodgkin's disease,Neopl
Intestinal ulcer perforation,Intestinal ulcers and perforation NEC,Gastrointestinal ulceration and perforation,Gastr
Fibroadenoma of breast,Breast and nipple neoplasms benign,Breast neoplasms benign (incl nipple),Neopl
Mesenteric artery embolism,Gastrointestinal vascular occlusion and infarction,Gastrointestinal vascular conditions,Gastr
Diabetic hyperglycaemic coma,Coma states,Neurological disorders NEC,Nerv
Heat exhaustion,Heat injuries (excl thermal burns),Injuries by physical agents,Inj&P
Hypokalaemic syndrome,Potassium imbalance,Electrolyte and fluid balance conditions,Metab
Forearm fracture,Limb fractures and dislocations,Bone and joint injuries,Inj&P
Radius fracture,Limb fractures and dislocations,Bone and joint injuries,Inj&P
Pyelonephritis chronic,Urinary tract infections,Infections - pathogen unspecified,Infec
Dacryoadenitis acquired,"Lid, lash and lacrimal infections, irritations and inflammations","Ocular infections, irritations and inflammations",Eye
Blood osmolarity abnormal,Water and electrolyte analyses NEC,"Water, electrolyte and mineral investigations",Inv
Urine sodium abnormal,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Inv
Primary hyperaldosteronism,Adrenal cortical hyperfunctions,Adrenal gland disorders,Endo
Pseudophaeochromocytoma,Adrenal medulla disorders,Adrenal gland disorders,Endo
Diet refusal,Appetite disorders,Appetite and general nutritional disorders,Metab
Chvostek's sign,Calcium metabolism disorders,"Bone, calcium, magnesium and phosphorus metabolism disorders",Metab
Trousseau's sign,Calcium metabolism disorders,"Bone, calcium, magnesium and phosphorus metabolism disorders",Metab
Myoglobin urine,Musculoskeletal and soft tissue tests NEC,Musculoskeletal and soft tissue investigations (excl enzyme tests),Inv
Parathyroid tumour,Endocrine neoplasms malignant and unspecified NEC,Endocrine neoplasms malignant and unspecified,Neopl
Lid lag,Eyelid movement disorders,Ocular neuromuscular disorders,Eye
Alkalosis hypokalaemic,Metabolic alkaloses,Acid-base disorders,Metab
Chondrodermatitis nodularis chronica helicis,External ear infections and inflammations,External ear disorders (excl congenital),Ear
Sympathetic nerve injury,Nerve injuries NEC,Injuries NEC,Inj&P
Argyria,Hyperpigmentation disorders,Pigmentation disorders,Skin
Dermatitis herpetiformis,Bullous conditions,Epidermal and dermal conditions,Skin
Soft tissue swelling,Soft tissue disorders NEC,Musculoskeletal and connective tissue disorders NEC,Musc
Eosinophilic otitis media,Middle ear infections and inflammations,Middle ear disorders (excl congenital),Ear
Cerebrospinal fluid retention,Increased intracranial pressure disorders,Increased intracranial pressure and hydrocephalus,Nerv
Eosinopenia,Leukopenias NEC,White blood cell disorders,Blood
Lower respiratory tract congestion,Lower respiratory tract signs and symptoms,Respiratory tract signs and symptoms,Resp
Asthma prophylaxis,Respiratory tract therapeutic procedures NEC,Respiratory tract therapeutic procedures,Surg
Melanoma recurrent,Skin melanomas (excl ocular),Skin neoplasms malignant and unspecified,Neopl
Athetosis,Choreiform movements,Movement disorders (incl parkinsonism),Nerv
Sleep attacks,Narcolepsy and associated conditions,Sleep disorders and disturbances,Psych
Vaccination site oedema,Vaccination site reactions,Administration site reactions,Genrl
Vaccination site pruritus,Vaccination site reactions,Administration site reactions,Genrl
Diabetic coma,Coma states,Neurological disorders NEC,Nerv
Head deformity,"Musculoskeletal and connective tissue deformities of skull, face and buccal cavity",Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),Musc
